Date,Open,High,Low,Close,Volume
2010-01-04,109.82,110.14,109.31,109.8,16224044
2010-01-05,109.88,110.39,109.26,109.7,14213049
2010-01-06,110.71,111.77,110.41,111.51,24990473
2010-01-07,111.07,111.29,110.62,110.82,13609730
2010-01-08,111.52,111.58,110.26,111.37,15896296
2010-01-11,113.34,113.59,112.52,112.85,17252989
2010-01-12,112.38,113.05,110.14,110.49,29182550
2010-01-13,110.92,111.57,109.57,111.54,20013968
2010-01-14,111.51,112.37,110.79,112.03,18316938
2010-01-15,,,,110.86,0
2010-01-19,110.95,111.75,110.83,111.52,10474427
2010-01-20,109.97,110.05,108.46,108.94,17539029
2010-01-21,108.48,108.78,106.61,107.37,25753624
2010-01-22,106.93,107.68,106.01,107.17,24213570
2010-01-25,107.44,107.72,107.07,107.48,13200462
2010-01-26,106.87,107.99,106.75,107.56,12297082
2010-01-27,107.53,108.8,106.16,106.53,19005019
2010-01-28,107.18,107.23,105.18,106.48,16800449
2010-01-29,105.88,106.3,105.27,105.96,20278962
2010-02-01,106.64,108.48,106.37,108.35,14901855
2010-02-02,109.16,109.6,108.61,109.13,14328266
2010-02-03,109.1,109.54,108.43,108.7,13393185
2010-02-04,106.79,106.8,103.75,104.37,39991882
2010-02-05,103.76,104.68,102.28,104.68,32659994
2010-02-08,104.41,105.14,104.0,104.04,17182696
2010-02-09,105.18,106.15,104.87,105.41,25969130
2010-02-10,105.13,105.5,104.11,105.12,16280928
2010-02-11,105.58,107.56,105.27,107.13,19350031
2010-02-12,,,,107.04,0
2010-02-16,109.45,109.87,109.1,109.62,20904487
2010-02-17,109.66,110.01,108.87,109.25,19593363
2010-02-18,109.61,110.11,109.19,109.98,19177327
2010-02-19,109.32,110.39,108.81,109.47,21929976
2010-02-22,109.86,109.97,108.66,109.07,10746802
2010-02-23,108.84,108.91,107.65,107.89,13634057
2010-02-24,107.33,108.16,107.1,107.36,17207327
2010-02-25,106.7,108.7,106.6,108.31,23400303
2010-02-26,108.89,109.6,108.41,109.43,13036630
2010-03-01,109.48,109.9,108.97,109.43,12830851
2010-03-02,109.86,111.45,109.86,111.02,20106989
2010-03-03,111.46,112.18,111.18,111.63,16222018
2010-03-04,111.25,111.37,110.22,110.83,12951884
2010-03-05,111.13,111.75,110.8,110.81,11091383
2010-03-08,111.22,111.3,109.52,109.88,12760303
2010-03-09,109.16,110.16,109.04,109.72,12652902
2010-03-10,109.94,110.5,108.02,108.47,21990951
2010-03-11,108.28,108.65,107.86,108.6,9521553
2010-03-12,108.56,108.77,107.45,107.95,11849453
2010-03-15,108.16,108.56,107.82,108.36,7700873
2010-03-16,110.02,110.57,109.7,110.4,17754514
2010-03-17,110.18,110.46,109.55,109.59,13784691
2010-03-18,110.1,110.61,109.5,110.34,13853486
2010-03-19,110.26,110.29,107.85,108.28,24329081
2010-03-22,107.31,108.0,106.95,107.75,11586675
2010-03-23,107.5,108.5,107.34,108.32,11282995
2010-03-24,106.94,107.07,106.24,106.3,14240952
2010-03-25,107.0,107.25,106.48,106.78,16871366
2010-03-26,107.16,108.7,106.82,108.59,17435123
2010-03-29,108.87,109.17,108.4,108.75,11530584
2010-03-30,108.57,108.66,107.87,107.97,9818399
2010-03-31,109.44,109.5,108.85,108.95,14006724
2010-04-01,,,,110.26,0
2010-04-05,110.56,110.98,110.27,110.89,8210364
2010-04-06,110.89,111.51,110.83,111.03,10324193
2010-04-07,111.85,112.93,111.77,112.49,19145114
2010-04-08,112.47,112.98,112.13,112.65,12448068
2010-04-09,113.09,114.07,112.74,113.64,16428528
2010-04-12,113.64,114.13,112.98,113.01,11120557
2010-04-13,113.12,113.16,112.06,112.69,11261970
2010-04-14,113.23,113.66,112.78,113.03,10573838
2010-04-15,112.9,113.71,112.85,113.65,10955307
2010-04-16,112.5,113.07,110.54,111.24,24575679
2010-04-19,110.88,111.36,110.67,111.15,7996070
2010-04-20,111.73,112.21,111.33,111.46,7020159
2010-04-21,111.82,112.64,111.48,112.31,6843810
2010-04-22,111.79,112.01,110.76,111.84,9605438
2010-04-23,111.26,113.3,111.09,113.19,12506206
2010-04-26,112.88,113.2,112.63,112.75,8337739
2010-04-27,112.43,114.82,112.34,114.63,25057029
2010-04-28,114.03,114.99,113.63,114.31,26899066
2010-04-29,113.85,114.52,113.84,114.28,10381846
2010-04-30,115.26,115.7,115.21,115.36,13406375
2010-05-03,115.91,116.28,115.53,115.73,13571133
2010-05-04,116.39,116.43,114.17,114.87,21520139
2010-05-05,113.58,115.24,113.31,115.09,21616623
2010-05-06,115.62,118.62,115.57,118.49,50543774
2010-05-07,117.64,118.88,116.74,118.27,34276275
2010-05-10,117.5,117.9,116.81,117.57,28433779
2010-05-11,119.46,120.87,118.97,120.66,36731739
2010-05-12,121.28,122.24,120.77,121.4,32703533
2010-05-13,121.29,121.71,120.1,120.56,22340481
2010-05-14,121.88,122.02,119.12,120.37,34645679
2010-05-17,120.55,121.12,119.29,119.36,27898197
2010-05-18,118.86,120.32,118.5,119.49,26595950
2010-05-19,118.19,118.43,116.08,116.63,34412704
2010-05-20,116.14,116.95,115.18,115.84,28908168
2010-05-21,115.05,116.24,114.51,115.22,20098278
2010-05-24,116.34,117.17,116.04,116.84,14336746
2010-05-25,117.16,117.52,116.82,117.36,21232666
2010-05-26,118.58,119.08,118.32,118.47,13153439
2010-05-27,118.16,119.04,118.14,118.69,10424769
2010-05-28,,,,118.88,0
2010-06-01,119.88,120.25,119.63,119.91,12207708
2010-06-02,119.35,119.88,118.72,119.78,10348182
2010-06-03,119.16,119.39,117.48,117.96,13861386
2010-06-04,117.96,119.39,117.05,119.19,16536585
2010-06-07,118.73,121.8,118.62,121.49,20246173
2010-06-08,121.61,122.45,120.66,121.0,23410223
2010-06-09,120.48,120.99,119.51,120.56,12884566
2010-06-10,119.36,120.04,118.83,118.98,13687871
2010-06-11,119.88,120.41,119.33,120.01,7830520
2010-06-14,119.63,120.26,118.96,119.6,11004042
2010-06-15,119.71,121.03,119.48,120.99,15073837
2010-06-16,120.68,120.89,120.04,120.33,10505517
2010-06-17,121.64,122.41,121.49,121.9,19799687
2010-06-18,123.04,123.5,122.81,122.83,19430908
2010-06-21,123.09,123.11,120.36,120.39,20041604
2010-06-22,121.16,121.59,120.87,121.45,12944685
2010-06-23,120.89,121.02,119.77,120.95,14120709
2010-06-24,120.76,122.16,120.67,121.3,13140891
2010-06-25,122.75,123.13,122.49,122.76,9990880
2010-06-28,122.79,123.56,120.81,121.09,19655951
2010-06-29,121.05,121.82,119.03,121.27,17337148
2010-06-30,121.07,122.09,120.88,121.68,12016230
2010-07-01,120.91,121.03,116.98,117.04,33248896
2010-07-02,,,,118.49,0
2010-07-06,117.67,117.72,116.3,116.51,16849131
2010-07-07,116.57,117.78,116.5,117.73,10933967
2010-07-08,117.39,117.41,116.1,117.21,11315983
2010-07-09,118.14,118.73,118.0,118.36,9597357
2010-07-12,117.83,118.2,116.97,117.34,7511235
2010-07-13,118.98,119.1,118.36,118.36,8423609
2010-07-14,118.26,119.13,117.59,118.3,9576080
2010-07-15,118.59,118.7,117.73,118.23,8588898
2010-07-16,116.69,116.79,115.95,116.67,17494306
2010-07-19,115.57,115.8,115.11,115.73,15723859
2010-07-20,115.75,116.74,115.48,116.65,9267259
2010-07-21,116.8,117.0,115.71,115.85,9401816
2010-07-22,115.95,117.5,115.91,116.86,8163975
2010-07-23,117.12,117.47,115.79,116.09,8335429
2010-07-26,116.38,116.47,115.3,115.52,11223640
2010-07-27,114.95,114.99,113.21,113.51,29529967
2010-07-28,113.48,113.93,113.08,113.78,16074252
2010-07-29,113.54,114.35,113.34,114.29,9483748
2010-07-30,114.36,115.73,114.08,115.49,10093637
2010-08-02,116.12,116.39,115.2,115.54,8473382
2010-08-03,115.88,116.44,115.81,115.99,5585138
2010-08-04,117.41,117.65,116.65,116.72,10326181
2010-08-05,117.01,117.1,116.35,116.98,7026267
2010-08-06,117.99,118.42,117.49,117.84,10001961
2010-08-09,117.76,117.85,117.23,117.4,6754905
2010-08-10,116.59,118.09,116.4,117.73,10444819
2010-08-11,117.74,118.14,116.58,117.34,12436882
2010-08-12,118.56,118.86,118.46,118.77,12326949
2010-08-13,118.82,118.89,118.36,118.74,10214530
2010-08-16,119.7,119.82,119.46,119.73,8954062
2010-08-17,119.75,119.97,119.6,119.75,9145319
2010-08-18,119.23,120.51,119.0,120.22,12105463
2010-08-19,120.65,120.99,120.11,120.39,10015407
2010-08-20,119.97,120.07,119.45,119.97,10682814
2010-08-23,119.91,120.07,119.42,119.78,4862695
2010-08-24,118.77,120.8,118.71,120.36,14811385
2010-08-25,121.12,121.38,120.67,121.36,13996642
2010-08-26,121.09,122.95,120.5,120.96,8895558
2010-08-27,121.2,121.45,120.42,121.01,11157418
2010-08-30,120.85,121.06,120.58,120.91,4398739
2010-08-31,121.77,122.19,121.46,122.08,12257100
2010-09-01,122.15,122.21,121.43,121.69,11880081
2010-09-02,122.38,122.48,121.89,122.29,7002013
2010-09-03,,,,121.86,0
2010-09-07,122.91,123.06,122.63,122.7,8781190
2010-09-08,122.82,123.42,122.6,122.71,9792741
2010-09-09,122.44,122.88,121.38,121.56,13749732
2010-09-10,121.4,122.3,121.39,121.73,12510394
2010-09-13,121.63,122.11,121.39,121.62,9693282
2010-09-14,122.92,124.59,121.55,124.02,26588844
2010-09-15,123.97,124.29,123.44,123.94,11689007
2010-09-16,124.5,124.77,124.19,124.63,12672720
2010-09-17,125.03,125.03,124.27,124.54,13820956
2010-09-20,125.09,125.45,124.78,124.87,8479130
2010-09-21,124.77,126.17,124.16,126.01,20408305
2010-09-22,126.58,126.63,125.7,126.2,11055851
2010-09-23,126.2,126.66,125.81,126.3,9328863
2010-09-24,126.91,127.0,126.3,126.69,14948535
2010-09-27,126.9,126.91,126.48,126.72,6686128
2010-09-28,126.42,128.03,126.11,127.85,19857146
2010-09-29,127.93,128.24,127.52,127.95,12336702
2010-09-30,128.15,128.28,126.61,127.91,19213387
2010-10-01,128.72,129.07,127.91,128.91,17213503
2010-10-04,128.52,128.62,128.22,128.46,8367916
2010-10-05,130.11,131.12,129.87,130.99,17489513
2010-10-06,131.45,131.86,131.34,131.81,16142182
2010-10-07,132.6,132.67,129.51,130.37,38676787
2010-10-08,130.78,131.88,130.47,131.66,18695298
2010-10-11,131.28,132.33,130.98,132.29,10629816
2010-10-12,132.06,132.21,131.36,131.96,13295787
2010-10-13,132.73,134.31,132.63,134.07,18398457
2010-10-14,134.06,134.85,133.9,134.75,26890455
2010-10-15,134.24,134.46,133.07,133.68,26171172
2010-10-18,133.46,134.34,133.16,134.28,12301736
2010-10-19,130.46,131.59,129.75,130.11,25327162
2010-10-20,130.36,131.65,130.32,131.32,12556590
2010-10-21,131.08,131.59,128.72,129.47,21810811
2010-10-22,129.47,129.75,128.97,129.73,11889375
2010-10-25,131.16,131.38,130.21,130.85,12158348
2010-10-26,129.99,131.14,129.73,130.88,10710900
2010-10-27,129.93,130.0,128.79,129.52,16132025
2010-10-28,130.36,131.5,129.84,131.24,15895902
2010-10-29,131.48,132.82,131.06,132.62,14340787
2010-11-01,132.85,133.07,131.76,131.92,12403504
2010-11-02,132.44,132.59,131.88,132.49,9405214
2010-11-03,132.28,132.52,129.48,131.57,31705840
2010-11-04,134.64,136.13,134.24,136.03,23474598
2010-11-05,135.14,136.61,134.95,136.38,20343593
2010-11-08,135.92,137.79,135.53,137.78,17367381
2010-11-09,138.7,139.15,135.05,135.59,39445122
2010-11-10,137.03,137.28,135.15,137.24,28484613
2010-11-11,137.62,137.75,136.45,137.66,15447417
2010-11-12,135.89,136.31,132.82,133.69,35891104
2010-11-15,133.86,134.49,132.39,132.42,15096718
2010-11-16,132.24,132.38,129.83,130.97,32489668
2010-11-17,130.77,131.37,130.13,130.38,16432080
2010-11-18,131.82,132.78,131.55,132.09,16009336
2010-11-19,131.48,132.35,131.01,132.2,14148338
2010-11-22,132.13,133.6,131.69,133.48,13093374
2010-11-23,133.6,135.07,133.46,134.41,18215163
2010-11-24,,,,134.18,0
2010-11-26,132.38,133.16,131.93,133.11,7823118
2010-11-29,133.19,133.75,132.33,133.51,13983795
2010-11-30,135.21,135.75,134.78,135.42,17473063
